code,name,lat,long,tambon,amphoe,province,provinceEng,basin,region,regionEng,station_type
DKMU,อบต.ปางหมู,19.3338496,97.9656832,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,Mae Hong Son,แม่น้ำสาละวิน,ภาคเหนือ,North,R
BNHG,ทต.บ้านโฮ่ง,18.3353328,98.8183552,บ้านโฮ่ง,บ้านโฮ่ง,ลำพูน,Lamphun,แม่น้ำปิง,ภาคเหนือ,North,R
KNYM,ทต.ขุนยวม,18.8313888,97.9366464,ขุนยวม,ขุนยวม,แม่ฮ่องสอน,Mae Hong Son,แม่น้ำสาละวิน,ภาคเหนือ,North,R
CGMN,ทต.เชียงม่วน,18.8938416,100.28784,เชียงม่วน,เชียงม่วน,พะเยา,Phayao,แม่น้ำยม,ภาคเหนือ,North,R
BMKN,ทต.สันติสุข,18.528992,98.8210816,สันติสุข,ดอยหล่อ,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
LEEE,ทต.วังดิน,17.8019888,98.9471552,ลี้,ลี้,ลำพูน,Lamphun,แม่น้ำปิง,ภาคเหนือ,North,R
WGCI,ทต.สิริเวียงชัย,19.8674976,99.8900736,เวียงชัย,เวียงชัย,เชียงราย,Chiang Rai,แม่น้ำกก,ภาคเหนือ,North,R
CGKG,ทต.เวียง,20.2573664,100.4028864,เวียง,เชียงของ,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
MECN,ทต.แม่จัน,20.1392448,99.8579904,แม่จัน,แม่จัน,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
PASG,ทต.ป่าซาง,18.5181104,98.9394816,ป่าซาง,ป่าซาง,ลำพูน,Lamphun,แม่น้ำปิง,ภาคเหนือ,North,R
WPAP,ทต.เวียงป่าเป้า,19.3630528,99.5024064,เวียง,เวียงป่าเป้า,เชียงราย,Chiang Rai,แม่น้ำกก,ภาคเหนือ,North,R
YGHM,ทต.ยางฮอม,19.9223024,100.305664,ยางฮอม,ขุนตาล,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
SLBC,อบต.สลกบาตร,15.9790704,99.824608,สลกบาตร,ขาณุวรลักษบุรี,กำแพงเพชร,Kamphaeng Phet,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
WBYN,อบต.แม่ใส,19.1321616,99.8764672,แม่ใส,เมืองพะเยา,พะเยา,Phayao,แม่น้ำโขง,ภาคเหนือ,North,R
SRKT,อบต.ท่าแฝก,17.9457168,100.6310656,ท่าแฝก,ท่าปลา,อุตรดิตถ์,Uttaradit,แม่น้ำน่าน,ภาคเหนือ,North,R
CEHM,อบต.แจ้ห่ม,18.712304,99.5820672,แจ้ห่ม,แจ้ห่ม,ลำปาง,Lampang,แม่น้ำวัง,ภาคเหนือ,North,R
WGNA,ทต.บ้านใหม่,19.1767888,99.6208704,วังเหนือ,วังเหนือ,ลำปาง,Lampang,แม่น้ำวัง,ภาคเหนือ,North,R
RIKK,อบต.รอบเวียง,19.914936,99.8780352,รอบเวียง,เมืองเชียงราย,เชียงราย,Chiang Rai,แม่น้ำกก,ภาคเหนือ,North,R
KAHN,รร. คำอาฮวนศรีสุราษฎร์วิทยา,16.4964368,104.668512,คำอาฮวน,เมืองมุกดาหาร,มุกดาหาร,Mukdahan,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,Northeast,R
KOLO,ทต.เก้าเลี้ยว,15.8602928,100.0917952,เก้าเลี้ยว,เก้าเลี้ยว,นครสวรรค์,Nakhon Sawan,แม่น้ำปิง,ภาคเหนือ,North,R
BKDN,อบต.เขาทอง,15.5707184,100.1832064,เขาทอง,พยุหะคีรี,นครสวรรค์,Nakhon Sawan,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
SKKG,อบต.สะแกกรัง,15.399048,100.0350656,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,Uthai Thani,แม่น้ำสะแกกรัง,ภาคเหนือ,North,R
SWAR,ทต.สว่างอารมณ์,15.5854112,99.8651456,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,Uthai Thani,แม่น้ำสะแกกรัง,ภาคเหนือ,North,R
PONG,ทต.ปง,19.149944,100.2655424,ปง,ปง,พะเยา,Phayao,แม่น้ำยม,ภาคเหนือ,North,R
WTBT,อบต.วัดโบสถ์,16.9581424,100.337312,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
WCTK,โครงการชลประทานพิษณุโลก,16.8150544,100.2599104,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
BRKM,ทต.บางระกำเมืองใหม่,16.748904,100.0902784,บางระกำ,บางระกำ,พิษณุโลก,Phitsanulok,แม่น้ำยม,ภาคเหนือ,North,R
BWKG,อบต.บ้านไร่,16.6107888,100.2658112,บ้านไร่,บางกระทุ่ม,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
WGPO,ลานกีฬา อบต.วังโป่ง,16.3659136,100.8306816,วังโป่ง,วังโป่ง,เพชรบูรณ์,Phetchabun,แม่น้ำน่าน,ภาคเหนือ,North,R
WTLG,บ่อบำบัด ทม.พิจิตร,16.4332048,100.3319872,ในเมือง,เมืองพิจิตร,พิจิตร,Phichit,แม่น้ำน่าน,ภาคเหนือ,North,R
THTN,ทม.ตะพานหิน,16.2110688,100.4194624,ตะพานหิน,ตะพานหิน,พิจิตร,Phichit,แม่น้ำน่าน,ภาคเหนือ,North,R
CLPK,อบต.ห้วยโก๋น,19.5951616,101.0857472,ห้วยโก๋น,เฉลิมพระเกียรติ,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
PUAA,อบต.ไชยวัฒนา,19.2225056,100.9177472,ไชยวัฒนา,ปัว,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
BPTG,อบต.หินดาด,14.615048,98.72976,หินดาด,ทองผาภูมิ,กาญจนบุรี,Kanchanaburi,แม่น้ำแม่กลอง,ภาคกลาง,Central,R
SGKW,อบต.นาไร่หลวง,19.3671568,100.7007424,นาไร่หลวง,สองแคว,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
STSK,อบต.ดู่พงษ์,18.911696,100.941408,ดู่พงษ์,สันติสุข,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
TGCG,ที่ว่าการอำเภอทุ่งช้าง,19.3866464,100.8758912,ทุ่งช้าง,ทุ่งช้าง,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
WGSA,ทต.กลางเวียง,18.5661856,100.7355136,กลางเวียง,เวียงสา,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
WSPN,อบต.วังทรายพูน,16.4061104,100.5386304,วังทรายพูน,วังทรายพูน,พิจิตร,Phichit,แม่น้ำน่าน,ภาคเหนือ,North,R
CKLG,สำนักงานป้องกันและบรรเทาสาธารณภัย ทต.เชียงกลาง,19.2875008,100.8581184,เชียงกลาง,เชียงกลาง,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
NAMN,สนามกีฬา ทต.บ่อแก้ว,18.2104736,100.662432,บ่อแก้ว,นาหมื่น,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
BPGD,อบต.เขากระปุก,12.7198984,99.7353984,เขากระปุก,ท่ายาง,เพชรบุรี,Phetchaburi,แม่น้ำเพชรบุรี,ภาคกลาง,Central,R
KKPA,ทต.โกรกพระ,15.5531504,100.0708672,โกรกพระ,โกรกพระ,นครสวรรค์,Nakhon Sawan,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
TGLG,อบต.ทุ่งแล้ง,17.9705056,99.7466304,ทุ่งแล้ง,ลอง,แพร่,Phrae,แม่น้ำยม,ภาคเหนือ,North,R
DKLG,อบต.ดอนฉิมพลี,13.90536,100.970304,ดอนฉิมพลี,บางน้ำเปรี้ยว,ฉะเชิงเทรา,Chachoengsao,แม่น้ำบางปะกง,ภาคกลาง,Central,R
SBRS,ทต.บ้านปง,18.750336,98.889728,บ้านปง,หางดง,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
DITO,อบต.ดอยเต่า,17.9155216,98.7279424,ดอยเต่า,ดอยเต่า,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
CNDN,อบต.ชนแดน,16.1790688,100.901664,ชนแดน,ชนแดน,เพชรบูรณ์,Phetchabun,แม่น้ำน่าน,ภาคเหนือ,North,R
