code,name,lat,long,tambon,amphoe,province,basin,region,station_type
BKHI  ,ทต.บ้านค่ายหมื่นแผ้ว,15.6989632,102.0147712,บ้านค่าย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
BTUM  ,ทม.บ้านทุ่ม,16.4445008,102.7251456,บ้านทุ่ม,เมืองขอนแก่น,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
KUDN  ,เทศบาลนครอุดรธานี,17.4129328,102.7886784,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
BNPU  ,เทศบาลตำบลบ้านผือ,17.6867568,102.4765184,บ้านผือ,บ้านผือ,อุดรธานี,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
BPIA  ,อบต.ท่าสะอาด,17.4902416,101.9320896,ท่าสะอาด,นาด้วง,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
KHPB  ,อบจ.เพชรบูรณ์,16.4412512,101.1490624,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
POCE  ,อบต.กกสะทอน,17.0894928,101.1100480,กกสะทอน,ด่านซ้าย,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
NEAK  ,รร. บ้านหนองแอก,17.8894704,103.2106112,บ้านผือ,โพนพิสัย,หนองคาย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
NNDG  ,อบต.โนนแดง,15.8911632,103.0781312,โนนแดง,บรบือ,มหาสารคาม,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BKHN  ,อบต.บ้านลำนาว,8.0292216,99.4758464,บ้านลำนาว,บางขัน,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
NKNN  ,อบต.นิคมน้ำอูน,17.2041120,103.6870656,นิคมน้ำอูน,นิคมน้ำอูน,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
TOGO  ,ที่ว่าการอำเภอเต่างอย,16.9974064,104.1674304,นาตาล,เต่างอย,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
SITP  ,อบต.ศรีเทพ,15.4379056,101.1625280,ศรีเทพ,ศรีเทพ,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
BPUN  ,ทต.ศรีสงคราม,17.6269936,104.2614336,ศรีสงคราม,ศรีสงคราม,นครพนม,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
DTAN  ,ทต.ดอนตาล,16.3183808,104.9189952,ดอนตาล,ดอนตาล,มุกดาหาร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
JBLG  ,ทต.เจ๊ะบิลัง,6.6572404,99.9703424,เจ๊ะบิลัง,เมืองสตูล,สตูล,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
NGPI  ,อบต.หนองไผ่,15.9816496,101.0737600,หนองไผ่,หนองไผ่,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
SYKP  ,ทต.ปากตะโก,10.1005848,99.1378432,ปากตะโก,ทุ่งตะโก,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
CCSS  ,อบต.ท่าข้าม,10.6203432,99.1282816,ท่าข้าม,ท่าแซะ,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
PSLI  ,ทต.ไพศาลี,15.6001744,100.6571904,ไพศาลี,ไพศาลี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
TSUD  ,อบต.โคกชำแระ,14.7326128,104.9076096,โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
TKPP  ,ทต.ตระการพืชผล,15.6215808,105.0230464,กระเดียน,ตระการพืชผล,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
