code,name,lat,long,tambon,amphoe,province,basin,region,station_type
SKKG  ,อบต.สะแกกรัง,15.3990480,100.0350656,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R
SWAR  ,ทต.สว่างอารมณ์,15.5854112,99.8651456,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R
PONG  ,ทต.ปง,19.1499440,100.2655424,ปง,ปง,พะเยา,แม่น้ำยม,ภาคเหนือ,R
WTBT  ,อบต.วัดโบสถ์,16.9581424,100.3373120,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
WCTK  ,โครงการชลประทานพิษณุโลก,16.8150544,100.2599104,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
BRKM  ,ทต.บางระกำเมืองใหม่,16.7489040,100.0902784,บางระกำ,บางระกำ,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,R
BWKG  ,อบต.บ้านไร่,16.6107888,100.2658112,บ้านไร่,บางกระทุ่ม,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
WGPO  ,ลานกีฬา อบต.วังโป่ง,16.3659136,100.8306816,วังโป่ง,วังโป่ง,เพชรบูรณ์,แม่น้ำน่าน,ภาคเหนือ,R
WTLG  ,บ่อบำบัด ทม.พิจิตร,16.4332048,100.3319872,ในเมือง,เมืองพิจิตร,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R
THTN  ,ทม.ตะพานหิน,16.2110688,100.4194624,ตะพานหิน,ตะพานหิน,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R
CLPK  ,อบต.ห้วยโก๋น,19.5951616,101.0857472,ห้วยโก๋น,เฉลิมพระเกียรติ,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
PUAA  ,อบต.ไชยวัฒนา,19.2225056,100.9177472,ไชยวัฒนา,ปัว,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
BPTG  ,อบต.หินดาด,14.6150480,98.7297600,หินดาด,ทองผาภูมิ,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
SGKW  ,อบต.นาไร่หลวง,19.3671568,100.7007424,นาไร่หลวง,สองแคว,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
STSK  ,อบต.ดู่พงษ์,18.9116960,100.9414080,ดู่พงษ์,สันติสุข,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
TGCG  ,ที่ว่าการอำเภอทุ่งช้าง,19.3866464,100.8758912,ทุ่งช้าง,ทุ่งช้าง,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
WGSA  ,ทต.กลางเวียง,18.5661856,100.7355136,กลางเวียง,เวียงสา,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
WSPN  ,อบต.วังทรายพูน,16.4061104,100.5386304,วังทรายพูน,วังทรายพูน,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R
CKLG  ,สำนักงานป้องกันและบรรเทาสาธารณภัย ทต.เชียงกลาง,19.2875008,100.8581184,เชียงกลาง,เชียงกลาง,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
NAMN  ,สนามกีฬา ทต.บ่อแก้ว,18.2104736,100.6624320,บ่อแก้ว,นาหมื่น,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
BPGD  ,อบต.เขากระปุก,12.7198984,99.7353984,เขากระปุก,ท่ายาง,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
KKPA  ,ทต.โกรกพระ,15.5531504,100.0708672,โกรกพระ,โกรกพระ,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
TGLG  ,อบต.ทุ่งแล้ง,17.9705056,99.7466304,ทุ่งแล้ง,ลอง,แพร่,แม่น้ำยม,ภาคเหนือ,R
DKLG  ,อบต.ดอนฉิมพลี,13.9053600,100.9703040,ดอนฉิมพลี,บางน้ำเปรี้ยว,ฉะเชิงเทรา,แม่น้ำบางปะกง,ภาคกลาง,R
SBRS  ,ทต.บ้านปง,18.7503360,98.8897280,บ้านปง,หางดง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
DITO  ,อบต.ดอยเต่า,17.9155216,98.7279424,ดอยเต่า,ดอยเต่า,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
CNDN  ,อบต.ชนแดน,16.1790688,100.9016640,ชนแดน,ชนแดน,เพชรบูรณ์,แม่น้ำน่าน,ภาคเหนือ,R
TAKL  ,อบต.ตาดกลอย,17.0035264,101.3660416,ตาดกลอย,หล่มเก่า,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
BNTK  ,อบต.ตากออก,17.0602816,99.0649920,ตากออก,บ้านตาก,ตาก,แม่น้ำปิง,ภาคเหนือ,R
WCBR  ,ทม.วิเชียรบุรี,15.6573136,101.1247680,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
PPCT  ,อบต.พบพระ,16.4163184,98.6871424,พบพระ,พบพระ,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R
HOTT  ,อบต.หางดง,18.1619776,98.6085824,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
PRGB  ,อบต.ปากแคว,17.0140464,99.8142080,ปากแคว,เมืองสุโขทัย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
THCG  ,ทต.ทุ่งหัวช้าง,18.0034384,99.0269120,ทุ่งหัวช้าง,ทุ่งหัวช้าง,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R
SSRG  ,ทต.ศรีสำโรง,17.1682688,99.8726464,สามเรือน,ศรีสำโรง,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
NMPT  ,ทต.น้ำปาด,17.7253184,100.6814016,แสนตอ,น้ำปาด,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R
TGSK  ,ทต.ทองแสนขัน,17.4679088,100.3324672,ป่าคาย,ทองแสนขัน,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R
DCCT  ,ทต.เด่นชัย,17.9836368,100.0516864,เด่นชัย,เด่นชัย,แพร่,แม่น้ำยม,ภาคเหนือ,R
WCHN  ,อบต.วังชิ้น,17.8788640,99.6192320,วังชิ้น,วังชิ้น,แพร่,แม่น้ำยม,ภาคเหนือ,R
MSRM  ,อบต.แม่คง,18.1608096,97.9175680,แม่คง,แม่สะเรียง,แม่ฮ่องสอน,แม่น้ำสาละวิน,ภาคเหนือ,R
NMKO  ,อบต.หนองไม้กอง,16.4356768,99.9451136,หนองไม้กอง,ไทรงาม,กำแพงเพชร,แม่น้ำยม,ภาคเหนือ,R
KGLN  ,ทต.คลองลานพัฒนา,16.1225200,99.3293120,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R
TETN  ,อบต.แม่ปะ,17.6518064,99.2675712,แม่ปะ,เถิน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
PSLT  ,อบต.โพธิ์ทอง,16.1209888,99.5257152,โพธิ์ทอง,ปางศิลาทอง,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R
NKMT  ,อบต.บ่อแฮ้ว,18.3194288,99.4466112,บ่อแฮ้ว,เมืองลำปาง,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
CGKM  ,ทต.หย่วน,19.5246256,100.3009984,หย่วน,เชียงคำ,พะเยา,แม่น้ำโขง,ภาคเหนือ,R
PHKD  ,อบต.ศรีฐาน,16.8770816,101.8614080,ศรีฐาน,ภูกระดึง,เลย,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
RMMI  ,วัดวังตะเคียน,16.7114288,98.5066880,ท่าสายลวด,แม่สอด,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R
KTKB  ,อบจ.ตาก,16.8778096,99.1396416,ระแหง,เมืองตาก,ตาก,แม่น้ำปิง,ภาคเหนือ,R
PMPN  ,ศูนย์ดูแลผู้สูงอายุ ทต.สามเงา,17.2249056,99.0511424,สามเงา,สามเงา,ตาก,แม่น้ำปิง,ภาคเหนือ,R
BOKA  ,ทต.บ่อเกลือใต้,19.0802720,101.1519296,บ่อเกลือใต้,บ่อเกลือ,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
UPCT  ,ทต.อุ้มผาง,16.0177824,98.8651200,อุ้มผาง,อุ้มผาง,ตาก,แม่น้ำแม่กลอง,ภาคเหนือ,R
SNKO  ,ทต.ศรีนคร,17.3550640,99.9922496,ศรีนคร,ศรีนคร,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
TSLM  ,ทต.ทุ่งเสลี่ยม,17.3237504,99.5675584,ทุ่งเสลี่ยม,ทุ่งเสลี่ยม,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
NGBA  ,ทต.หนองบัว,15.8707248,100.5973312,หนองบัว,หนองบัว,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
CGSN  ,ทต.โยนก,20.2400944,100.0673152,โยนก,เชียงแสน,เชียงราย,แม่น้ำกก,ภาคเหนือ,R
TKFA  ,อบต.ตากฟ้า,15.2964704,100.5028096,ตากฟ้า,ตากฟ้า,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
MWOG  ,อบต.แม่วงก์,15.7810048,99.5459136,แม่วงก์,แม่วงก์,นครสวรรค์,แม่น้ำสะแกกรัง,ภาคเหนือ,R
LNSK  ,อบต.ลานสัก,15.4727632,99.5396800,ลานสัก,ลานสัก,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R
PADT  ,ทต.ป่าแดด,19.4959600,99.9952832,ป่าแดด,ป่าแดด,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
BNAN  ,อบต.บ้านกิ่ว,18.0870000,99.5041152,บ้านกิ่ว,แม่ทะ,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
NMPR  ,ทต.เนินมะปราง,16.5707248,100.6493632,เนินมะปราง,เนินมะปราง,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
STOR  ,อบต.สะตอ,12.5361008,102.4445632,สะตอ,เขาสมิง,ตราด,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
CTKN  ,อบต.ป่าแดง,17.2621568,100.5762880,ป่าแดง,ชาติตระการ,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
SYTL  ,อบต.วังงิ้ว,16.0156544,100.7328256,วังงิ้ว,ดงเจริญ,พิจิตร,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
NSNO  ,อบต.หนองโสน,16.3965104,100.0552384,หนองโสน,สามง่าม,พิจิตร,แม่น้ำยม,ภาคเหนือ,R
PTLE  ,ทต.โพทะเล,16.0937632,100.2600896,โพทะเล,โพทะเล,พิจิตร,แม่น้ำยม,ภาคเหนือ,R
TPKO  ,ทต.ทับคล้อ,16.1696384,100.5660096,ทับคล้อ,ทับคล้อ,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R
PANC  ,สุสานคริสเตียน,19.5614688,99.7410880,เมืองพาน,พาน,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
FANG  ,อบต.เวียง,19.9410928,99.2181120,เวียง,ฝาง,เชียงใหม่,แม่น้ำกก,ภาคเหนือ,R
SNSI  ,ทต.สันนาเม็ง,18.8380768,99.0569152,สันนาเม็ง,สันทราย,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
CPKC  ,ทต.ไชยปราการ,19.7422368,99.1454336,ปงตำ,ไชยปราการ,เชียงใหม่,แม่น้ำกก,ภาคเหนือ,R
TAPE  ,ทต.ช้างเผือก,18.8100800,98.9699136,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
HTTM  ,อบต.ไม้รูด,11.9274512,102.7790656,ไม้รูด,คลองใหญ่,ตราด,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
BBON  ,อบต.แจ้ซ้อน,18.8169248,99.5000320,แจ้ซ้อน,เมืองปาน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
CHUN  ,ทต.ห้วยข้าวก่ำ,19.3501008,100.1394880,ห้วยข้าวก่ำ,จุน,พะเยา,แม่น้ำโขง,ภาคเหนือ,R
CATK  ,อบต.หนองหญ้า,13.9837856,99.4582400,หนองหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
HKTG  ,อบต.ศรีมงคล,14.0227312,99.1914752,ศรีมงคล,ไทรโยค,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
BOP1  ,อบต.บ่อพลอย,14.3044784,99.5088704,บ่อพลอย,บ่อพลอย,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
THNG  ,ทต.เวียงเทิง,19.6873760,100.1899264,เวียง,เทิง,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
DDSO  ,อบต.ไล่โว่,15.1876240,98.4771456,ไล่โว่,สังขละบุรี,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
CHTG  ,อบต.เจาทอง,15.9069184,101.4275264,เจาทอง,ภักดีชุมพล,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
NSRS  ,โรงปรับปรุงคุณภาพน้ำฯ ทน.นครสวรรค์,15.6985760,100.1369024,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
CMSG  ,อบต.พิกุล,15.8984480,100.3077440,พิกุล,ชุมแสง,นครสวรรค์,แม่น้ำน่าน,ภาคเหนือ,R
KUBR  ,ทต.กุยบุรี,12.0700832,99.8673024,กุยบุรี,กุยบุรี,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,R
OMKI  ,อบต.อมก๋อย,17.7979136,98.3414720,อมก๋อย,อมก๋อย,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
BSVT  ,ทต.ร่อนทอง,11.2633088,99.4381632,ร่อนทอง,บางสะพาน,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,R
DSKT  ,ทต.ดอยสะเก็ด,18.8647776,99.1322624,เชิงดอย,ดอยสะเก็ด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
WGKN  ,ทต.หล่ายงาว,20.1057888,100.5004352,หล่ายงาว,เวียงแก่น,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
BLKO  ,ทต.ท่าพริกเนินทราย,12.2549032,102.5582720,เนินทราย,เมืองตราด,ตราด,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
RSK7  ,รร.วัดอู่ข้าว,14.1911296,100.7542272,คลองเจ็ด,คลองหลวง,ปทุมธานี,แม่น้ำเจ้าพระยา,ภาคกลาง,R
BNGR  ,อบต.หนองไร่,13.0019104,101.3564416,หนองไร่,ปลวกแดง,ระยอง,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
TPTN  ,ทต.ทัพทัน,15.4576640,99.8948096,ทัพทัน,ทัพทัน,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R
PPRM  ,อบต.พรหมพิราม,17.0216560,100.1921280,พรหมพิราม,พรหมพิราม,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
NTAN  ,อบต.นาตาล,15.9017088,105.2787264,นาตาล,นาตาล,อุบลราชธานี,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
NKTI  ,ทต.นครไทย,17.1010128,100.8291520,นครไทย,นครไทย,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
KKWF  ,อบต.ปังเผล,14.9530160,98.6183104,ปรังเผล,สังขละบุรี,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
WGTG  ,ที่ทำการผู้ใหญ่บ้าน หมู่ 13 ต.วังทอง,16.8317760,100.4288704,วังทอง,วังทอง,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R
SWKL  ,โรงฆ่าสัตว์ ทม.สวรรคโลก,17.3167664,99.8251456,เมืองสวรรคโลก,สวรรคโลก,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
PMPA  ,อบต.ปางมะผ้า,19.5906624,98.2150336,ปางมะผ้า,ปางมะผ้า,แม่ฮ่องสอน,แม่น้ำสาละวิน,ภาคเหนือ,R
PVEE  ,ทต.ปัถวี,12.7426512,102.2326016,ปัถวี,มะขาม,จันทบุรี,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
TKNT  ,ทต.ตะเคียนทอง,12.9130680,102.0813696,ตะเคียนทอง,เขาคิชฌกูฏ,จันทบุรี,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
KHHM  ,อบต.เทพนิมิต,13.0403040,102.4495616,เทพนิมิต,โป่งน้ำร้อน,จันทบุรี,โตนเลสาป,ภาคกลาง,R
BNKN  ,ทต.พลิ้ว,12.4999384,102.1475840,พลิ้ว,แหลมสิงห์,จันทบุรี,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
LK13  ,บ้านน้อยสว่าง,14.1651856,100.7785600,บึงชำอ้อ,หนองเสือ,ปทุมธานี,แม่น้ำเจ้าพระยา,ภาคกลาง,R
KSNG  ,อบต.ขุนซ่อง,13.0740432,101.9376000,ขุนซ่อง,แก่งหางแมว,จันทบุรี,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
NMUB  ,อบต.น้ำมวบ,18.4842160,100.9307712,น้ำมวบ,เวียงสา,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
BTTI  ,อบต.เทอดไทย,20.2398656,99.6664064,เทอดไทย,แม่ฟ้าหลวง,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
HCTT  ,อบต.หนองหล่ม,18.3362624,99.3999104,หนองหล่ม,ห้างฉัตร,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
PYMR  ,ทต.พญาเม็งราย,19.8392560,100.1692416,เม็งราย,พญาเม็งราย,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
BMKO  ,อบต.ไม้ขาว,8.1820064,98.2989056,ไม้ขาว,ถลาง,ภูเก็ต,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
TKRA  ,อบต.คลองเฉลิม,7.3824304,99.9801600,คลองเฉลิม,กงหรา,พัทลุง,ทะเลสาบสงขลา,ภาคใต้,R
KOKN  ,อบต.โคคลาน,13.9910880,102.6506816,โคคลาน,ตาพระยา,สระแก้ว,โตนเลสาป,ภาคกลาง,R
SKBI  ,อบต.หนองลู,15.1955248,98.4612096,หนองลู,สังขละบุรี,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
BMNK  ,เทศบาลตำบลหอไกร,16.0501104,100.3737152,หอไกร,บางมูลนาก,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R
NANT  ,อบจ.น่าน,18.7990608,100.7331584,ในเวียง,เมืองน่าน,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
NPNK  ,อบต.หนองผักนาก,14.7644432,100.0194432,หนองผักนาก,สามชุก,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,R
MCRM  ,รพสต.หมอเมือง,18.6781616,100.9927872,หมอเมือง,แม่จริม,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
BNPK  ,อบต.บางครก,13.1987000,99.9505152,บางครก,บ้านแหลม,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
KCWF  ,ทต.สวนผึ้ง,13.5448928,99.3383104,สวนผึ้ง,สวนผึ้ง,ราชบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
BLUG  ,สนามกีฬา อบต.ป่าคาหลวง,18.8528688,100.4350336,ป่าคาหลวง,บ้านหลวง,น่าน,แม่น้ำยม,ภาคเหนือ,R
NANI  ,อบต.นาน้อย,18.3281328,100.7087104,นาน้อย,นาน้อย,น่าน,แม่น้ำน่าน,ภาคเหนือ,R
TANA  ,อบต.นครชัยศรี,13.7903424,100.1904896,นครชัยศรี,นครชัยศรี,นครปฐม,แม่น้ำท่าจีน,ภาคกลาง,R
KKTO  ,ทต.ลำปางหลวง,18.2303360,99.3912256,ลำปางหลวง,เกาะคา,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
MPBR  ,ทต.ปราณบุรี,12.3783984,99.8933312,หนองตาแต้ม,ปราณบุรี,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,R
WWST  ,วัดเนินสวรรค์มงคลธรรม,12.4164400,99.8177856,หนองตาแต้ม,ปราณบุรี,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,R
HHMV  ,อบต.ทับใต้,12.4903008,99.9043712,ทับใต้,หัวหิน,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,R
TLMU  ,ทต.ลำแก่น,8.5967272,98.2573504,ลำแก่น,ท้ายเหมือง,พังงา,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
LMKD  ,อบต.คลองขนาน,8.0053056,99.0138816,คลองขนาน,เหนือคลอง,กระบี่,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
NTST  ,อบต.ท่าเสา,14.2160096,99.0813184,ท่าเสา,ไทรโยค,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
KTUM  ,อบต.เขาตูม,6.6191304,101.3067136,เขาตูม,ยะรัง,ปัตตานี,แม่น้ำปัตตานี,ภาคใต้,R
BST1  ,อบต.ศีรษะจรเข้น้อย,13.6778016,100.7945024,ศีรษะจรเข้น้อย,บางเสาธง,สมุทรปราการ,แม่น้ำบางปะกง,ภาคกลาง,R
MMMO  ,ทต.แม่เมาะ,18.2729360,99.6516096,แม่เมาะ,แม่เมาะ,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
TPAE  ,ทต.ท่าขนุน,14.7440608,98.6423872,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
NAPJ  ,อบต.ทุ่งกระบ่ำ,14.5887568,99.6350656,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,แม่น้ำท่าจีน,ภาคกลาง,R
KHNI  ,อบต.บ้านเสด็จ,8.7635688,99.0646400,บ้านเสด็จ,เคียนซา,สุราษฎร์ธานี,แม่น้ำตาปี,ภาคใต้,R
BUGN  ,ร.ร.บ้านอังโกน-ห้วยทราย,14.4960752,102.2472256,บ้านใหม่,ครบุรี,นครราชสีมา,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
NOKG  ,อบต.หนองโพธิ์,15.7743248,103.1028416,หนองโพธิ์,นาเชือก,มหาสารคาม,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BKNH  ,อบต.ราษฎร์นิยม,14.1038624,100.3220800,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,R
MNDM  ,เขื่อนแม่งัดสมบูรณ์ชล,19.1617664,99.0396864,ช่อแล,แม่แตง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
KUAM  ,อบต.สบแม่ข่า,18.6779616,98.9771520,สบแม่ข่า,หางดง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
CHKG  ,อบต.ช่างเคิ่ง,18.5066656,98.3523136,ช่างเคิ่ง,แม่แจ่ม,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
NOKK  ,อบต.หนองขนาก,14.5141904,100.7352320,หนองขนาก,ท่าเรือ,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,ภาคกลาง,R
LMKO  ,อบต.หล่มเก่า,16.8807056,101.2383680,หล่มเก่า,หล่มเก่า,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
TAKI  ,อบต.ตาคลี,15.2912048,100.3829056,ตาคลี,ตาคลี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
PICI  ,อบต.ในเมือง,17.2959360,100.1006784,ในเมือง,พิชัย,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R
PKH1  ,ที่ทำการกำนันตำบลลาดชิด,14.4414288,100.3556480,ลาดชิด,ผักไห่,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,ภาคกลาง,R
SWH1  ,อบต.บ้านพราน,14.7021536,100.2981952,บ้านพราน,แสวงหา,อ่างทอง,แม่น้ำเจ้าพระยา,ภาคกลาง,R
WSPR  ,ทต.โคกตูม,14.8126576,100.7899264,โคกตูม,เมืองลพบุรี,ลพบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,R
LMSK  ,ทต.ตาลเดี่ยว,16.7713424,101.2536640,ตาลเดี่ยว,หล่มสัก,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
KOKO  ,อบต.ทุ่งสมอ,16.7050176,101.0440640,ทุ่งสมอ,เขาค้อ,เพชรบูรณ์,แม่น้ำน่าน,ภาคเหนือ,R
NMKH  ,อบต.หนองมะค่า,15.4321584,100.9244800,หนองมะค่า,โคกเจริญ,ลพบุรี,แม่น้ำป่าสัก,ภาคกลาง,R
PCHI  ,อบต.โพธิ์ชัย,14.9971808,100.4235904,โพธิ์ชัย,อินทร์บุรี,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,R
LMPN  ,สวนสาธารณะกู่ช้าง ทต.ลำพูน,18.5863968,99.0194816,ในเมือง,เมืองลำพูน,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R
TRON  ,ทต.ตรอน,17.4861120,100.1056256,วังแดง,ตรอน,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R
BNKK  ,ทต.บ้านโคก,18.0210320,101.0647616,บ้านโคก,บ้านโคก,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R
MNRM  ,ทต.คุ้งสำเภา,15.3100304,100.0817280,คุ้งสำเภา,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,R
HUKT  ,ทต.สรรพยา,15.1321296,100.2512832,สรรพยา,สรรพยา,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,R
KABG  ,อบต.กาบัง,6.4802740,100.9826880,กาบัง,กาบัง,ยะลา,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
LDKS  ,อบต.นากอก,16.8967984,102.2016640,นากอก,ศรีบุญเรือง,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
PLTL  ,อบต.พลูตาหลวง,12.6986000,100.9762240,พลูตาหลวง,สัตหีบ,ชลบุรี,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
NGSC  ,อบต.บ่อทอง,13.2416632,101.4882816,บ่อทอง,บ่อทอง,ชลบุรี,แม่น้ำบางปะกง,ภาคกลาง,R
BLNG  ,อบต.บ้านแลง,12.7002104,101.3347136,บ้านแลง,เมืองระยอง,ระยอง,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
BSIK  ,อบต.เขาหลวง,17.3174128,101.6353472,เขาหลวง,วังสะพุง,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
BKJO  ,อบต.บางกระเจ้า,13.5214368,100.1928640,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,แม่น้ำท่าจีน,ภาคกลาง,R
